top - 09:47:01 up  3:33,  3 users,  load average: 0.70, 0.28, 0.36
Tasks: 178 total,   3 running, 175 sleeping,   0 stopped,   0 zombie
%Cpu(s):  8.0 us,  0.7 sy,  0.0 ni, 91.2 id,  0.1 wa,  0.0 hi,  0.1 si,  0.0 st
KiB Mem :  1884064 total,   384532 free,  1106016 used,   393516 buff/cache
KiB Swap:  1601532 total,  1212960 free,   388572 used.   604972 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  654 dbus      20   0   38584   1964    552 S   0.0  0.1   0:00.94 dbus-daemon
  657 chrony    20   0  115840    532    420 S   0.0  0.0   0:00.10 chronyd
  668 root      20   0  203352     44      8 S   0.0  0.0   0:00.02 gssproxy
  673 avahi     20   0   30192    220    136 S   0.0  0.0   0:00.04 avahi-daem+
  674 root      20   0   26396    952    772 S   0.0  0.1   0:00.23 systemd-lo+
  675 root      20   0  210248    152    148 S   0.0  0.0   0:00.01 abrtd
  676 root      20   0  207968    208    204 S   0.0  0.0   0:00.01 abrt-watch+
  683 avahi     20   0   30068     24      0 S   0.0  0.0   0:00.00 avahi-daem+
  684 libstor+  20   0    8528     56     28 S   0.0  0.0   0:00.06 lsmd
  690 root      20   0   19176    424    320 S   0.0  0.0   0:00.70 irqbalance
  692 root      20   0  323720   1612    704 S   0.0  0.1   0:00.53 firewalld
  693 root      20   0  219752   1420   1204 S   0.0  0.1   0:00.09 rsyslogd
  694 root      20   0  207968    260    224 S   0.0  0.0   0:00.04 abrt-watch+
  695 root      20   0   26516    152    128 S   0.0  0.0   0:00.02 smartd
  707 root      20   0  115244    728    564 S   0.0  0.0   0:00.22 ksmtuned
  807 root      20   0  526148   2148   1192 S   0.0  0.1   0:00.57 NetworkMan+
  853 polkitd   20   0  534652  13296   1840 S   0.0  0.7   0:08.26 polkitd
  855 root      20   0   53060     92     92 S   0.0  0.0   0:00.00 wpa_suppli+
 1131 root      20   0  110516    164    160 S   0.0  0.0   0:00.02 dhclient
 1430 root      20   0   82552    152    148 S   0.0  0.0   0:00.01 sshd
 1432 root      20   0  193064    608     92 S   0.0  0.0   0:00.03 cupsd
 1434 root      20   0  553048    928    420 S   0.0  0.0   0:01.61 tuned
 1445 root      20   0  557596    232    228 S   0.0  0.0   0:00.17 libvirtd
 1496 root      20   0   25960     28     12 S   0.0  0.0   0:00.00 atd
 1503 root      20   0  126332    448    328 S   0.0  0.0   0:00.47 crond
 1566 root      20   0   92292    168    168 S   0.0  0.0   0:00.11 login
 1974 root      20   0   93216    104     28 S   0.0  0.0   0:00.06 master
 1985 postfix   20   0   93388     84     32 S   0.0  0.0   0:00.01 qmgr
 2106 nobody    20   0   15548    100     96 S   0.0  0.0   0:00.00 dnsmasq
 2107 root      20   0   15520      4      0 S   0.0  0.0   0:00.00 dnsmasq
 2714 dragos    20   0  116696    104    104 S   0.0  0.0   0:00.05 bash
 2753 dragos    20   0  113116    108    104 S   0.0  0.0   0:00.00 startx
 2775 dragos    20   0   13944     56     56 S   0.0  0.0   0:00.00 xinit
 2780 dragos    20   0  575324   1700   1016 S   0.0  0.1   0:00.16 gnome-sess+
 2787 dragos    20   0   13948      0      0 S   0.0  0.0   0:00.00 dbus-launch
 2788 dragos    20   0   38356   1216    340 S   0.0  0.1   0:00.25 dbus-daemon
 2855 dragos    20   0  401568    224    224 S   0.0  0.0   0:00.02 imsettings+
 2858 dragos    20   0  306568    544    156 S   0.0  0.0   0:00.02 gvfsd
 2862 dragos    20   0  361136     76     76 S   0.0  0.0   0:00.02 gvfsd-fuse
 2915 dragos    20   0   52856     44      0 S   0.0  0.0   0:00.05 ssh-agent
 2920 dragos    20   0  339996    532    280 S   0.0  0.0   0:00.00 at-spi-bus+
 2924 dragos    20   0   37132    804    348 S   0.0  0.0   0:01.70 dbus-daemon
 2928 dragos    20   0  129688    556    392 S   0.0  0.0   0:00.91 at-spi2-re+
 2944 dragos    20   0  537432    208     68 S   0.0  0.0   0:00.05 gnome-keyr+
 2951 dragos    20   0 1224756   8212   2652 S   0.0  0.4   0:00.90 gnome-sett+
 2962 dragos     9 -11  559972   1444    892 S   0.0  0.1   0:00.35 pulseaudio
 2963 rtkit     21   1  164652    140    124 S   0.0  0.0   0:00.13 rtkit-daem+
 2964 root      20   0  363560   1376    956 S   0.0  0.1   0:00.23 upowerd
 2978 root      20   0   39448    216    216 S   0.0  0.0   0:00.01 bluetoothd
 2996 root      20   0  370920   1600   1076 S   0.0  0.1   0:00.13 udisksd
 2999 colord    20   0  404168    864    440 S   0.0  0.0   0:00.04 colord
 3023 dragos    20   0  516708    584    248 S   0.0  0.0   0:00.01 gsd-printer
 3064 dragos    20   0  470656   5096    824 S   0.0  0.3   0:06.46 ibus-daemon
 3068 dragos    20   0  392864    212    212 S   0.0  0.0   0:00.00 ibus-dconf
 3071 dragos    20   0  452328   1916   1188 S   0.0  0.1   0:03.97 ibus-x11
 3077 dragos    20   0  531248    156    156 S   0.0  0.0   0:00.09 gnome-shel+
 3083 dragos    20   0  892532   1324    344 S   0.0  0.1   0:00.11 evolution-+
 3085 root      20   0  387380    816    428 S   0.0  0.0   0:00.04 accounts-d+
 3092 dragos    20   0 1428840    208    208 S   0.0  0.0   0:00.77 goa-daemon
 3094 dragos    20   0  238724    216    216 S   0.0  0.0   0:00.00 gvfsd-meta+
 3102 dragos    20   0  322144   1540    684 S   0.0  0.1   0:00.11 mission-co+
 3104 dragos    20   0  575940   3268   1332 S   0.0  0.2   0:01.97 caribou
 3106 dragos    20   0  180664    232    232 S   0.0  0.0   0:00.00 dconf-serv+
 3141 dragos    20   0  334432    504    288 S   0.0  0.0   0:00.44 goa-identi+
 3147 dragos    20   0  400588    992    716 S   0.0  0.1   0:00.04 gvfs-udisk+
 3163 dragos    20   0  312512    240    240 S   0.0  0.0   0:00.00 gvfs-mtp-v+
 3169 dragos    20   0  421768    216    216 S   0.0  0.0   0:00.00 gvfs-afc-v+
 3179 dragos    20   0  299864    120    120 S   0.0  0.0   0:00.00 gvfs-goa-v+
 3185 dragos    20   0  321588    240    240 S   0.0  0.0   0:00.00 gvfs-gphot+
 3199 root      20   0  487284   1240    820 S   0.0  0.1   0:00.23 packagekitd
 3202 dragos    20   0 1004940   8264   3452 S   0.0  0.4   0:00.53 nautilus
 3214 dragos    20   0  451420   1472    892 S   0.0  0.1   0:00.14 abrt-applet
 3216 dragos    39  19  644576    212    212 S   0.0  0.0   0:00.06 tracker-ex+
 3225 dragos    39  19  469708    216    216 S   0.0  0.0   0:00.03 tracker-mi+
 3228 dragos    20   0  536344   2632    472 S   0.0  0.1   0:00.09 tracker-st+
 3232 dragos    39  19  469716    240    240 S   0.0  0.0   0:00.04 tracker-mi+
 3239 dragos    39  19  710044    520    152 S   0.0  0.0   0:00.08 tracker-mi+
 3249 dragos    20   0  300604   1052    656 S   0.0  0.1   0:00.03 seapplet
 3250 dragos    20   0  684744   2244   1232 S   0.0  0.1   0:00.16 gnome-soft+
 3257 dragos    20   0 1096432   5952    152 S   0.0  0.3   0:00.26 evolution-+
 3272 dragos    20   0  149836    252    132 S   0.0  0.0   0:00.02 gconfd-2
 3305 dragos    20   0  471448    624    460 S   0.0  0.0   0:00.02 gvfsd-trash
 3329 dragos    20   0  319196   1244    684 S   0.0  0.1   0:01.86 ibus-engin+
 3444 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/1:+
 3958 dragos    20   0  556032   9916   4520 S   0.0  0.5   0:01.67 gnome-term+
